;contratto;zona;superficie;locali;piano;tipo proprietà;prezzo;spese condominio;spese aggiuntive;anno di costruzione;stato;riscaldamento;climatizzazione;certificazione energetica;posti auto;spese riscaldamento;climatizzatore;classe energetica;link annuncio
1613;Affitto;centro;35;1.0;4°;Intera proprietà;470;45.0;0.0;1900.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;autonomo;D ;https://www.immobiliare.it/annunci/63299376/
1614;Affitto;centro;110;4.0;5°;Intera proprietà;1000;200.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;None;0;https://www.immobiliare.it/annunci/63276914/
1615;Affitto;centro;190;5.0;1°;Immobile di lusso;4300;0.0;0.0;0.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;autonomo;B ;https://www.immobiliare.it/annunci/63100086/
1616;Affitto;centro;50;2.0;5°;Intera proprietà;750;160.0;0.0;2000.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;centralizzato;G ;https://www.immobiliare.it/annunci/62887812/
1617;Affitto;centro;230;5.0;Oltre;Intera proprietà;3000;250.0;0.0;1949.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;autonomo;E ;https://www.immobiliare.it/annunci/62650370/
1618;Affitto;centro;245;5.0;1°;Intera proprietà;6500;0.0;0.0;2013.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;centralizzato;A ;https://www.immobiliare.it/annunci/62448228/
1619;Affitto;centro;215;4.0;3°;Intera proprietà;4300;0.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;centralizzato;0;https://www.immobiliare.it/annunci/62452042/
1620;Affitto;centro;55;2.0;3°;Intera proprietà;1000;0.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;centralizzato;0;https://www.immobiliare.it/annunci/62423936/
1621;Affitto;centro;55;2.0;1°;Intera proprietà;900;0.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;centralizzato;0;https://www.immobiliare.it/annunci/62423386/
1622;Affitto;centro;90;3.0;5°;Intera proprietà;850;240.0;0.0;1900.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;autonomo;C ;https://www.immobiliare.it/annunci/62358396/
1623;Affitto;centro;62;1.0;1°;Intera proprietà;1250;0.0;0.0;0.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;autonomo;0;https://www.immobiliare.it/annunci/62290798/
1624;Affitto;centro;350;5.0;1°;0;5500;0.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;None;C ;https://www.immobiliare.it/annunci/62004278/
1625;Affitto;centro;50;1.0;3°;0;700;1.0;0.0;0.0;ottimo/ristrutturato;autonomo;0.0;0.0;0.0;0.0;None;0;https://www.immobiliare.it/annunci/61511146/
1626;Affitto;centro;127;4.0;Su;Immobile di lusso;2800;0.0;0.0;0.0;ottimo/ristrutturato;0;0.0;0.0;0.0;0.0;autonomo;B ;https://www.immobiliare.it/annunci/61414100/
1627;Affitto;centro;185;5.0;0;Intera proprietà;4500;0.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;autonomo;B ;https://www.immobiliare.it/annunci/61414306/
1628;Affitto;centro;90;3.0;1°;Intera proprietà;1400;0.0;0.0;0.0;ottimo/ristrutturato;centralizzato;0.0;0.0;0.0;0.0;autonomo;0;https://www.immobiliare.it/annunci/61115172/
